subtest_code,age_min,age_max,raw_score,standard_score
AN,13,13,8,106
AN,13,13,9,110
AN,13,13,10,114
AN,13,13,11,117
AN,13,13,12,121
AN,13,13,13,125
AN,13,13,14,129
AN,13,13,15,132
# GE Usia 13
GE,13,13,0,75
GE,13,13,1,79
GE,13,13,2,82
GE,13,13,3,86
GE,13,13,4,89
GE,13,13,5,93
GE,13,13,6,97
GE,13,13,7,100
GE,13,13,8,104
GE,13,13,9,107
GE,13,13,10,111
GE,13,13,11,114
GE,13,13,12,118
GE,13,13,13,121
GE,13,13,14,125
GE,13,13,15,129
GE,13,13,16,132
# ME Usia 13
ME,13,13,0,79
ME,13,13,1,82
ME,13,13,2,85
ME,13,13,3,87
ME,13,13,4,90
ME,13,13,5,93
ME,13,13,6,96
ME,13,13,7,101
ME,13,13,8,102
ME,13,13,9,105
ME,13,13,10,107
ME,13,13,11,110
ME,13,13,12,113
ME,13,13,13,116
ME,13,13,14,119
ME,13,13,15,122
ME,13,13,16,125
ME,13,13,17,127
ME,13,13,18,130
ME,13,13,19,133
# RA Usia 13
RA,13,13,0,76
RA,13,13,1,79
RA,13,13,2,83
RA,13,13,3,86
RA,13,13,4,90
RA,13,13,5,93
RA,13,13,6,97
RA,13,13,7,100
RA,13,13,8,103
RA,13,13,9,107
RA,13,13,10,110
RA,13,13,11,114
RA,13,13,12,117
RA,13,13,13,121
RA,13,13,14,124
RA,13,13,15,128
RA,13,13,16,131
RA,13,13,17,134
# ZR Usia 13
ZR,13,13,0,81
ZR,13,13,1,84
ZR,13,13,2,87
ZR,13,13,3,90
ZR,13,13,4,93
ZR,13,13,5,96
ZR,13,13,6,99
ZR,13,13,7,101
ZR,13,13,8,104
ZR,13,13,9,107
ZR,13,13,10,110
ZR,13,13,11,113
ZR,13,13,12,116
ZR,13,13,13,119
ZR,13,13,14,122
ZR,13,13,15,125
ZR,13,13,16,128
ZR,13,13,17,131
ZR,13,13,18,134
# FA Usia 13
FA,13,13,0,75
FA,13,13,1,78
FA,13,13,2,82
FA,13,13,3,85
FA,13,13,4,88
FA,13,13,5,91
FA,13,13,6,94
FA,13,13,7,97
FA,13,13,8,100
FA,13,13,9,103
FA,13,13,10,107
FA,13,13,11,110
FA,13,13,12,113
FA,13,13,13,116
FA,13,13,14,119
FA,13,13,15,122
FA,13,13,16,125
FA,13,13,17,128
FA,13,13,18,132
FA,13,13,19,135
# WU Usia 13
WU,13,13,0,75
WU,13,13,1,78
WU,13,13,2,81
WU,13,13,3,84
WU,13,13,4,88
WU,13,13,5,91
WU,13,13,6,94
WU,13,13,7,97
WU,13,13,8,100
WU,13,13,9,103
WU,13,13,10,106
WU,13,13,11,109
WU,13,13,12,113
WU,13,13,13,116
WU,13,13,14,119
WU,13,13,15,122
WU,13,13,16,125
WU,13,13,17,128
WU,13,13,18,131
WU,13,13,19,134
